Water demand,System deficit,Junctin 1 deficit,Junction 2 deficit,Junction 3 deficit,Junction 5 deficit,Junction 6 deficit,Junction 7 deficit,Junction 8 deficit,Junction 9 deficit,Junction 10 deficit,Junction 13 deficit,Junction 14 deficit,Junction 15 deficit,Junction 16 deficit,Junction 18 deficit,Junction 19 deficit,Junction 28 deficit
0.837308366,50464.02451,0.000409108,0.000293191,3.08E-05,2.61E-05,0,0.000427782,0,0.000794208,0.00027598,0,0.000586382,34070.07741,0,0.001175438,16393.94308,0
0.84253146,51088.19446,0,0,0,0,0.000408157,0.000283512,0.00035929,0,0,0.00058065,0,34282.60511,0.000422122,0.00188228,16805.58541,0
0.847754554,51712.36315,0.000483665,0.000350292,0,0,0.000272615,0.000139243,0,0,0,6.06E-05,0.000700583,34495.1328,0.000111394,0,17217.22823,0
0.852977648,52336.53232,3.27E-05,0,0,0,0.000137073,0,0.000536577,0,0,0,0,34707.6605,0,0,17628.87057,0.000550182
0.858200742,52960.70658,0,0.000407392,0,0.000158721,1.53E-06,0,0,0,0.000900385,0.000973505,0.000814784,34920.18819,0.000466499,9.66E-05,18040.51326,0.001304578
0.863423836,53584.87411,0.000107218,0,0,6.98E-05,0,0,0.000713864,0,0.000568205,0.000453415,0,35132.71589,0.000155771,0.000803398,18452.15535,0
0.86864693,54209.04502,0,0.000464492,0,0,0,0,0,0,0.000236025,0,0.000928985,35345.24358,0,0.00151024,18863.79829,0
0.873870024,54833.21342,0.000181774,4.76E-06,0,0,0,0.000394455,0.000891151,0.000161612,0,0,9.52E-06,35557.77128,0,0,19275.4405,0
0.879093118,55457.38443,0,0,0,0,0.000435926,0.000250185,3.23E-06,0.000350259,0,0.00084627,0,35770.29897,0.000200148,0,19687.08296,0.000415912
0.884316212,56081.55532,0.000256331,6.19E-05,0,0.000202456,0.000300384,0.000105915,0,0.000538906,0,0.00032618,0.000123724,35982.82667,0,0,20098.72557,0.001170308
0.889539306,56705.72521,0,0,0,0.000113547,0.000164842,0,0.000180519,0.000727553,0.00086043,0,0,36195.35436,0,0.000431358,20510.36837,0
0.8947624,57329.89621,0.000330887,0.000118962,0.000877,2.46E-05,2.93E-05,0,0,0.0009162,0.00052825,0,0.000237925,36407.88206,0.000244525,133.9933257,20788.01484,0.0026791
0.899985494,57954.06221,0,0,0.00077637,0.000424009,0,0,0.000357806,0,0.00019607,0.000719035,0,36620.40975,0,424.2870013,20909.36298,0
0.905208588,58578.23106,0.000405444,0.000176063,0.00067574,0,0,0,0,0,0,0.000198945,0.000352126,36832.93745,0,714.5806769,21030.71113,0
0.910431682,59202.4018,0,0,0.00057511,0.000246191,0,0.000361127,0.000535093,0,0,0,0,37045.46514,0.000288902,1004.874352,21152.05927,0.001036038
0.915654776,59826.57061,0.000480001,0.000233164,0.00047448,0,0.000463694,0.000216857,0,0,0,0,0.000466327,37257.99284,0,1295.168028,21273.40741,0
0.92087787,60450.74333,2.90E-05,0,0.00037385,6.84E-05,0.000328153,7.26E-05,0.00071238,0,0.000820475,0.0005918,0,37470.52053,0,1585.461704,21394.75555,0.00254483
0.926100964,61074.914,0,0.000290264,0.00027322,0.000467744,0.00019261,0,0,9.50E-05,0.000488295,7.17E-05,0.000580528,37683.04823,0.000333279,1875.759286,21516.1037,0
0.931324058,61699.08241,0.000103554,0,0.00017259,0,5.71E-05,0,0.000889667,0.000283604,0.000156115,0,0,37895.57592,2.26E-05,2166.052961,21637.45184,0
0.936547152,62323.25301,0,0.000347364,7.20E-05,0.000289926,0,0,1.75E-06,0.000472251,0,0,0.000694729,38108.10361,0,2456.346637,21758.79998,0.000901768
0.941770246,62947.42266,0.00017811,0,0,0,0.000762547,0.00047207,0,0.000660898,0,0.000464565,0,38320.63131,0.000377656,2746.640312,21880.14813,0
0.94699334,63571.59505,0,0.000404465,0,0.000112107,0.000627005,0.0003278,0.000179035,0.000849545,0,0,0.00080893,38533.159,6.69E-05,3036.933988,22001.49627,0.00241056
0.952216434,64195.76048,0.000252667,0,0,0,0.000491463,0.00018353,0,0,0.00078052,0,0,38745.6867,0,3327.227663,22122.84441,0
0.957439528,64819.93606,0,0.000461565,0,0,0.000355921,3.93E-05,0.000356322,0,0.00044834,0.00085742,0.000923131,38958.21439,0.000422033,3617.525245,22244.19255,0
0.962662622,65444.10393,0.000327223,1.83E-06,0,0.000333661,0.000220379,0,0,0,0.00011616,0.00033733,3.67E-06,39170.74209,0.000111304,3907.818921,22365.5407,0.000767498
0.967885716,66068.27184,0,0,0,0,8.48E-05,0,0.000533609,0,0,0,0,39383.26978,0,4198.112596,22486.88884,0
